127.0.0.1 - - [26/May/2017:14:27:33 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/May/2017:15:56:24 +0300] "GET /HommyAdministratorService/hommy/users/login?username=dimana&password=dimana HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [26/May/2017:15:57:37 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:15:59:04 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:15:59:56 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:16:02:37 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:16:12:37 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:16:24:43 +0300] "GET /HommyAdministratorService/hommy/devices HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/May/2017:16:41:01 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:16:44:05 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:16:45:20 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:16:45:24 +0300] "GET /HommyAdministratorService/hommy/devices HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/May/2017:16:48:27 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:16:48:30 +0300] "GET /HommyAdministratorService/hommy/devices HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/May/2017:16:54:55 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:16:54:58 +0300] "GET /HommyAdministratorService/hommy/devices HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/May/2017:16:56:04 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:16:56:07 +0300] "GET /HommyAdministratorService/hommy/devices HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/May/2017:17:00:51 +0300] "GET /HommyAdministratorService/hommy/devices HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/May/2017:17:13:39 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:17:14:08 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:17:14:10 +0300] "GET /HommyAdministratorService/hommy/devices HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/May/2017:17:26:35 +0300] "GET /HommyAdministratorService/hommy/rules HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [26/May/2017:17:26:48 +0300] "GET /HommyAdministratorService/hommy/rules?userId=1 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [26/May/2017:17:36:07 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:17:36:12 +0300] "GET /HommyAdministratorService/hommy/devices HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/May/2017:17:36:14 +0300] "GET /HommyAdministratorService/hommy/rules/userId=1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/May/2017:17:37:58 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:17:38:05 +0300] "GET /HommyAdministratorService/hommy/rules/userId=1 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [26/May/2017:17:40:04 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:17:40:07 +0300] "GET /HommyAdministratorService/hommy/rules?userId=1 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [26/May/2017:17:41:03 +0300] "GET /HommyAdministratorService/hommy/devices HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/May/2017:17:47:11 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:17:47:14 +0300] "GET /HommyAdministratorService/hommy/rules?userId=1 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [26/May/2017:17:47:59 +0300] "GET /HommyAdministratorService/hommy/devices HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/May/2017:18:00:37 +0300] "GET /HommyAdministratorService/hommy/events HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [26/May/2017:18:12:51 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:18:13:01 +0300] "GET /HommyAdministratorService/hommy/events HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [26/May/2017:18:14:02 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:18:14:07 +0300] "GET /HommyAdministratorService/hommy/events HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [26/May/2017:18:15:38 +0300] "GET /HommyAdministratorService/hommy/events HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [26/May/2017:18:16:15 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:18:16:17 +0300] "GET /HommyAdministratorService/hommy/events HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [26/May/2017:18:23:36 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=DESO HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [26/May/2017:18:23:41 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=DESO HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [26/May/2017:18:23:50 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=DESO HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [26/May/2017:18:24:19 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:18:24:21 +0300] "GET /HommyAdministratorService/hommy/events HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [26/May/2017:18:24:31 +0300] "GET /HommyAdministratorService/hommy/devices HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/May/2017:18:31:03 +0300] "GET /HommyAdministratorService/hommy/users/login?username=deso&password=deso HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [26/May/2017:18:31:05 +0300] "GET /HommyAdministratorService/hommy/devices HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [26/May/2017:18:31:09 +0300] "GET /HommyAdministratorService/hommy/events HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [26/May/2017:18:31:16 +0300] "GET /HommyAdministratorService/hommy/rules?userId=1 HTTP/1.1" 200 204
